t,i,eval_success,eval_loss,drift,delayed
45,8,57.6,1.923430736064911,,false
45,4,57.6,1.4852567636966705,,false
46,5,55.2,2.1958239978551863,,false
46,9,58.0,1.8839601933956147,,false
46,2,50.2,1.0937243354320527,,false
46,6,57.2,1.8391896641254426,,true
46,8,59.0,2.1284703433513643,,false
46,3,52.0,1.1027418780326843,,true
46,7,58.6,2.189946373701096,,false
46,0,53.0,1.0870075058937072,,true
47,9,57.6,1.7818484276533126,,false
47,6,57.6,1.99267435669899,,true
47,2,48.8,1.1315734177827834,,false
47,1,46.2,1.2121734428405762,,false
47,0,47.2,1.0991734606027603,,true
47,3,48.2,1.1448923087120055,,true
47,7,55.6,2.015120187997818,,false
47,5,52.8,2.275028738975525,,false
48,8,54.6,2.368856363296509,,false
48,0,40.4,1.3738185417652131,,true
48,1,48.4,1.1602135169506074,,false
48,5,59.2,1.9192762386798858,,false
48,2,38.4,1.5126138877868653,,false
48,3,39.6,1.4815460813045502,,true
48,7,59.8,1.5474385511875153,,false
48,4,57.8,1.9071559780836105,,false
49,8,64.4,1.230284788608551,,false
49,6,62.8,1.2745079305768012,,true
49,9,62.0,1.3271090137958526,,false
49,4,61.8,1.1753068614006041,,false
49,2,45.6,1.368330523967743,,false
49,7,62.2,1.2311422955989837,,false
49,5,62.2,1.2349377846717835,,false
49,0,38.0,1.463287638425827,,true
